arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file
phase4_asx_cross_revin,weather,720,720,2025,ok,0.5991672,0.3117057979106903,0.3319537043571472,31,144,0,28338840,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl720_sd2025.log
phase4_asx_cross_revin,weather,720,720,2026,ok,0.5930449,0.31627026200294495,0.3353702127933502,31,144,0,28338844,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl720_sd2026.log
phase4_asx_cross_revin,weather,720,96,2024,ok,0.3863171,0.14986731112003326,0.20567761361598969,31,144,0,28338833,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl96_sd2024.log
phase4_asx_cross_revin,weather,720,96,2025,ok,0.3858899,0.15178877115249634,0.20670238137245178,31,144,0,28338837,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl96_sd2025.log
phase4_asx_cross_revin,weather,720,96,2026,ok,0.3837519,0.15281786024570465,0.21050402522087097,31,144,0,28338841,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl96_sd2026.log
phase4_asx_individual,electricity,720,192,2024,ok,0.1325952,0.1590166836977005,0.2580910325050354,181,24+168,0,28338725,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl192_sd2024.log
phase4_asx_individual,electricity,720,192,2025,ok,0.1325685,0.15901660919189453,0.2580964267253876,181,24+168,0,28338729,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl192_sd2025.log
phase4_asx_individual,electricity,720,192,2026,ok,0.1325634,0.15905608236789703,0.25816333293914795,181,24+168,0,28338733,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl192_sd2026.log
phase4_asx_individual,electricity,720,336,2024,ok,0.1476081,0.17381304502487183,0.27304598689079285,181,24+168,0,28338726,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl336_sd2024.log
phase4_asx_individual,electricity,720,336,2025,ok,0.1475551,0.17382514476776123,0.27306756377220154,181,24+168,0,28338730,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl336_sd2025.log
phase4_asx_individual,electricity,720,336,2026,ok,0.1475564,0.17381355166435242,0.2730664908885956,181,24+168,0,28338734,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl336_sd2026.log
phase4_asx_individual,electricity,720,720,2024,ok,0.1796749,0.2091122716665268,0.30289971828460693,181,24+168,0,28338727,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl720_sd2024.log
phase4_asx_individual,electricity,720,720,2025,ok,0.1797346,0.2091490477323532,0.3028934597969055,181,24+168,0,28338731,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl720_sd2025.log
phase4_asx_individual,electricity,720,720,2026,ok,0.1797112,0.20917023718357086,0.3028862774372101,181,24+168,0,28338735,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl720_sd2026.log
phase4_asx_individual,electricity,720,96,2024,ok,0.1197836,0.14262861013412476,0.24442964792251587,181,24+168,0,28338724,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl96_sd2024.log
phase4_asx_individual,electricity,720,96,2025,ok,0.1197935,0.1426207721233368,0.2444276511669159,181,24+168,0,28338728,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl96_sd2025.log
phase4_asx_individual,electricity,720,96,2026,ok,0.1197339,0.1426554024219513,0.24444906413555145,181,24+168,0,28338732,logs/AsySpecX_phase4/phase4_asx_individual_electricity_sl720_pl96_sd2026.log
phase4_asx_individual,weather,720,192,2024,ok,0.4386023,0.19084033370018005,0.2430732250213623,31,144,0,28338713,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl192_sd2024.log
phase4_asx_individual,weather,720,192,2025,ok,0.4386339,0.19059331715106964,0.2427767664194107,31,144,0,28338717,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl192_sd2025.log
phase4_asx_individual,weather,720,192,2026,ok,0.4387932,0.1906595230102539,0.24281363189220428,31,144,0,28338721,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl192_sd2026.log
