run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10_0712v1,ind_cycle_full_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661048,1957002,0.1469386,0.1733568012714386,0.2659819722175598,2324.0462,9.3303,693.03,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.141049,0.1375965,0.1600807,0.1499713
phase10_0712v1,ind_cycle_r8,electricity,96,336,2026,25,168,24+168,ok,0,28661044,1874058,0.1608182,0.18697796761989594,0.28329309821128845,2299.1283,9.1692,650.56,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_r8_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_r8/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1584119,0.1500866,0.1732056,0.1621493
phase10_0712v1,ind_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661046,1903074,0.1788918,0.2036745250225067,0.2873467803001404,2303.8985,9.7782,650.82,logs/AsySpecX_phase10/phase10_0712v1_ind_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1816489,0.1673396,0.1883077,0.1790748
phase10cp_0712v1,compact_period_cycle_full,electricity,168,96,2026,43,168,24+168,ok,0,28661595,67144,0.1191301,0.14207138121128082,0.23880618810653687,583.5845,4.5389,438.41,logs/AsySpecX_phase10/phase10cp_0712v1_compact_period_cycle_full_electricity_sl168_pl96_cf43_sd2026.log,phase10_results/compact_period_0712v1/compact_period_cycle_full/electricity/sl168_pl96_cf43_sd2026/run_summary.json,0.1166174,0.1109449,0.1290963,0.120898
phase10cp_0712v1,compact_period_cycle_full,electricity,168,336,2026,43,168,24+168,ok,0,28661596,74760,0.1489339,0.17419801652431488,0.26967528462409973,876.7934,7.4978,867.04,logs/AsySpecX_phase10/phase10cp_0712v1_compact_period_cycle_full_electricity_sl168_pl336_cf43_sd2026.log,phase10_results/compact_period_0712v1/compact_period_cycle_full/electricity/sl168_pl336_cf43_sd2026/run_summary.json,0.1447913,0.1402436,0.1621487,0.1486721
phase10cp_0712v1,compact_period_cycle_full,electricity,336,96,2026,85,168,24+168,ok,0,28661597,80764,0.1160993,0.13806460797786713,0.23617573082447052,706.0607,5.3904,634.68,logs/AsySpecX_phase10/phase10cp_0712v1_compact_period_cycle_full_electricity_sl336_pl96_cf85_sd2026.log,phase10_results/compact_period_0712v1/compact_period_cycle_full/electricity/sl336_pl96_cf85_sd2026/run_summary.json,0.1129135,0.108586,0.1248031,0.1185177
phase10ec_0712v1,cross_cycle_full,electricity,720,96,2026,61,168,24+168,ok,0,28661407,68938,0.1237659,0.1496420055627823,0.2539692223072052,935.2407,7.318,968.43,logs/AsySpecX_phase10/phase10ec_0712v1_cross_cycle_full_electricity_sl720_pl96_cf61_sd2026.log,phase10_results/electricity_cutoff_0712v1/cross_cycle_full/electricity/sl720_pl96_cf61_sd2026/run_summary.json,0.1223199,0.1140619,0.1317099,0.1269418
phase10ec85_0712v1,cross_cycle_full,electricity,720,96,2026,85,168,24+168,ok,0,28661553,76894,0.1212747,0.1475491225719452,0.2509273290634155,920.1884,7.7168,990.13,logs/AsySpecX_phase10/phase10ec85_0712v1_cross_cycle_full_electricity_sl720_pl96_cf85_sd2026.log,phase10_results/electricity_cutoff_cf85_0712v1/cross_cycle_full/electricity/sl720_pl96_cf85_sd2026/run_summary.json,0.1195596,0.1118364,0.1291456,0.1254771
phase10ec_0712v1,cross_cycle_full,electricity,720,96,2026,121,168,24+168,ok,0,28661409,93810,0.1157889,0.13961759209632874,0.24076184630393982,935.8842,7.3077,1029.86,logs/AsySpecX_phase10/phase10ec_0712v1_cross_cycle_full_electricity_sl720_pl96_cf121_sd2026.log,phase10_results/electricity_cutoff_0712v1/cross_cycle_full/electricity/sl720_pl96_cf121_sd2026/run_summary.json,0.1136564,0.1068123,0.1235582,0.1197133
phase10ep_0712v1,cross_cycle_full,electricity,720,96,2026,181,168,24+168,ok,0,28661122,135002,0.1123805,0.1353793740272522,0.23423948884010315,941.517,7.4841,1094.98,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl720_pl96_cf181_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl720_pl96_cf181_sd2026/run_summary.json,0.1099647,0.1035858,0.1207368,0.1160713
