arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,exit_code,job_id,log_file
phase3_diag_only_weather_guard,electricity,720,96,2026,ok,0.1192566,0.14145222306251526,0.24307745695114136,0,28332105,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl96_sd2026.log
phase3_diag_only_weather_guard,electricity,720,96,2027,ok,0.1192454,0.14141599833965302,0.24302895367145538,0,28332109,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl96_sd2027.log
phase3_diag_only_weather_guard,weather,720,192,2026,ok,0.4498364,0.19495335221290588,0.24784977734088898,0,28332098,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl192_sd2026.log
phase3_diag_only_weather_guard,weather,720,192,2027,ok,0.4477315,0.19407707452774048,0.24687837064266205,0,28332102,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl192_sd2027.log
phase3_diag_only_weather_guard,weather,720,336,2026,ok,0.5139279,0.24453195929527283,0.286041259765625,0,28332099,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl336_sd2026.log
phase3_diag_only_weather_guard,weather,720,336,2027,ok,0.5148661,0.2448144257068634,0.2864114046096802,0,28332103,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl336_sd2027.log
phase3_diag_only_weather_guard,weather,720,720,2026,ok,0.60395,0.3133753538131714,0.33503344655036926,0,28332100,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl720_sd2026.log
phase3_diag_only_weather_guard,weather,720,720,2027,ok,0.6038485,0.314517617225647,0.33569347858428955,0,28332104,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl720_sd2027.log
phase3_diag_only_weather_guard,weather,720,96,2026,ok,0.3950334,0.15422019362449646,0.21213072538375854,0,28332097,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl96_sd2026.log
phase3_diag_only_weather_guard,weather,720,96,2027,ok,0.392724,0.15146157145500183,0.20838049054145813,0,28332101,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_weather_sl720_pl96_sd2027.log
phase3_fits_individual,electricity,720,192,2026,ok,0.1325634,0.15905608236789703,0.25816333293914795,0,28331978,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl192_sd2026.log
phase3_fits_individual,electricity,720,192,2027,ok,0.1325353,0.15906354784965515,0.2581176161766052,0,28331982,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl192_sd2027.log
phase3_fits_individual,electricity,720,336,2026,ok,0.1475564,0.17381355166435242,0.2730664908885956,0,28331979,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl336_sd2026.log
phase3_fits_individual,electricity,720,336,2027,ok,0.1477068,0.1738094538450241,0.2730567753314972,0,28331983,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl336_sd2027.log
phase3_fits_individual,electricity,720,720,2026,ok,0.1797112,0.20917023718357086,0.3028862774372101,0,28331980,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl720_sd2026.log
phase3_fits_individual,electricity,720,720,2027,ok,0.1797037,0.20912550389766693,0.30291423201560974,0,28331984,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl720_sd2027.log
phase3_fits_individual,electricity,720,96,2026,ok,0.1197339,0.1426554024219513,0.24444906413555145,0,28331977,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl96_sd2026.log
phase3_fits_individual,electricity,720,96,2027,ok,0.1198097,0.1427474021911621,0.24460738897323608,0,28331981,logs/AsySpecX_phase3/phase3_fits_individual_electricity_sl720_pl96_sd2027.log
phase3_fits_individual,weather,720,192,2026,ok,0.4387932,0.1906595230102539,0.24281363189220428,0,28331970,logs/AsySpecX_phase3/phase3_fits_individual_weather_sl720_pl192_sd2026.log
phase3_fits_individual,weather,720,192,2027,ok,0.4375709,0.19044892489910126,0.24258245527744293,0,28331974,logs/AsySpecX_phase3/phase3_fits_individual_weather_sl720_pl192_sd2027.log
phase3_fits_individual,weather,720,336,2026,ok,0.5035602,0.24058492481708527,0.2821459174156189,0,28331971,logs/AsySpecX_phase3/phase3_fits_individual_weather_sl720_pl336_sd2026.log
