dataset,pred_len,Compact + Echo MSE,Compact + Echo MAE,Compact + Echo Params,TQNet MSE,TQNet MAE,TQNet Params,CycleNet MSE,CycleNet MAE,CycleNet Params,FITS MSE,FITS MAE,FITS Params,SparseTSF MSE,SparseTSF MAE,SparseTSF Params,FreTS MSE,FreTS MAE,FreTS Params,FilterNet MSE,FilterNet MAE,FilterNet Params,iTransformer MSE,iTransformer MAE,iTransformer Params,PatchTST MSE,PatchTST MAE,PatchTST Params,DLinear MSE,DLinear MAE,DLinear Params,MixLinear MSE,MixLinear MAE,MixLinear Params,PhaseFormer MSE,PhaseFormer MAE,PhaseFormer Params,FreqCycle MSE,FreqCycle MAE,FreqCycle Params
ETTm1,336,0.35571871095958196,0.38220478923143136,10554,0.37157607078552246,0.3963717520236969,3143984,0.3641086220741272,0.387827068567276,242928,0.37235257029533386,0.3899894654750824,2772,0.3762289881706238,0.39092615246772766,445,0.4148719906806946,0.4258573651313782,23745744,0.38700515031814575,0.4022761583328247,271662,0.37996354699134827,0.4072243571281433,335056,0.36382463574409485,0.39491942524909973,4282192,0.37182700634002686,0.39314696192741394,484512,0.3919742703437805,0.40890514850616455,1121,0.36209356748023186,0.38296277483523167,1806,0.37142398440746227,0.39404398784531763,315256
ETTm1,720,0.40520507211021006,0.40904080041888824,10682,0.43777579069137573,0.4331223964691162,3340976,0.4093974232673645,0.41126078367233276,519792,0.4203034043312073,0.4157411456108093,3784,0.42289260029792786,0.41502055525779724,925,0.4764655530452728,0.4650174677371979,23844432,0.43667763471603394,0.4262752830982208,370350,0.44203829765319824,0.44574812054634094,384592,0.4156937301158905,0.4180508852005005,8706256,0.42246609926223755,0.4216175675392151,1038240,0.42960551381111145,0.42673730850219727,1733,0.4152755834713985,0.4122993853738193,3900,0.42364218956291,0.42031713161882805,414328
ETTm2,96,0.1602366646226315,0.25003215846101945,10426,0.17146673798561096,0.2624165415763855,3020864,0.1597035527229309,0.2496950775384903,69888,0.16739100217819214,0.25845155119895935,2112,0.17622493207454681,0.26380181312561035,145,0.17445601522922516,0.26340344548225403,23684064,0.18691499531269073,0.2752159833908081,209982,0.18659758567810059,0.28062236309051514,304096,0.16342592239379883,0.2544896602630615,1517152,0.16871094703674316,0.26194196939468384,138432,0.16674456000328064,0.2568809390068054,653,0.16878746210146844,0.2574966606491379,3666,0.16493782530060144,0.2560801600607425,253336
ETTm2,192,0.21364361760195869,0.28839408727767046,10490,0.22500082850456238,0.2988210916519165,3070112,0.2140214443206787,0.2885828912258148,139104,0.2208792269229889,0.2948889136314392,2376,0.22570571303367615,0.29754388332366943,265,0.2562311887741089,0.31118595600128174,23708736,0.23529069125652313,0.30522799491882324,234654,0.2423819899559021,0.3154045343399048,316480,0.21801498532295227,0.29457592964172363,2623168,0.28141874074935913,0.3610976040363312,276864,0.22234834730625153,0.2971177399158478,863,0.22705235778015842,0.3013958848988041,1752,0.232964378064326,0.30398034119897205,278104
ETTm2,336,0.26811824283771507,0.32568922316369914,10554,0.2821178436279297,0.33685624599456787,3143984,0.2693482041358948,0.3256162703037262,242928,0.2718510627746582,0.32884758710861206,2772,0.2746334671974182,0.3298884630203247,445,0.30655649304389954,0.3539564311504364,23745744,0.2916852831840515,0.34817129373550415,271662,0.30280736088752747,0.35462406277656555,335056,0.26922571659088135,0.3285997211933136,4282192,0.2988881468772888,0.3606742322444916,484512,0.27105197310447693,0.32762411236763,1121,0.27777100951800937,0.33070541764270167,1806,0.2743032627902462,0.3314030488875804,315256
ETTm2,720,0.35354117983555033,0.3845971089957836,10682,0.37288898229599,0.39936187863349915,3340976,0.3579799234867096,0.38407352566719055,519792,0.35144495964050293,0.3798040747642517,3784,0.355662077665329,0.38073480129241943,925,0.39043959975242615,0.4098762571811676,23844432,0.3663069009780884,0.3985232710838318,370350,0.38059571385383606,0.40435343980789185,384592,0.35128718614578247,0.3804495334625244,8706256,0.4505883753299713,0.4552929401397705,1038240,0.35205966234207153,0.37995073199272156,1733,0.35222738315173197,0.37989953443658614,1950,0.35915100628029467,0.38405713169943806,414328
weather,96,0.13868557605467655,0.18969989269860243,6126,0.1549634486436844,0.20761480927467346,3023216,0.16416355967521667,0.2196582853794098,72240,0.17357486486434937,0.22936281561851501,1120,0.1802700012922287,0.2365075945854187,145,0.15549831092357635,0.21914157271385193,23684064,0.15866126120090485,0.21351312100887299,139274,0.18142440915107727,0.23175014555454254,5153376,0.1517416089773178,0.20334701240062714,1517152,0.17131155729293823,0.23299820721149445,138432,0.17508280277252197,0.23090596497058868,203,0.14861983060836792,0.19356034696102142,5616,0.1471955227980287,0.20204465905476846,244858
weather,192,0.1816932686245894,0.23105610236359878,15262,0.20860981941223145,0.25618526339530945,3072464,0.20949116349220276,0.25799620151519775,141456,0.2152470201253891,0.2632787823677063,1248,0.2194487303495407,0.26734650135040283,265,0.20071247220039368,0.262688547372818,23708736,0.19939637184143066,0.24975721538066864,151658,0.232009619474411,0.2711865305900574,5202624,0.19503802061080933,0.24352572858333588,2623168,0.21318824589252472,0.26852819323539734,276864,0.21804451942443848,0.26796767115592957,307,0.19274400174617767,0.23646798729896545,3702,0.1911690479094778,0.24393977980156745,269626
weather,336,0.23229967296845855,0.2714597343543076,17566,0.26260775327682495,0.29763278365135193,3146336,0.2557961046695709,0.29278653860092163,245280,0.25971662998199463,0.2964123785495758,1440,0.2655036151409149,0.3023287355899811,445,0.24665631353855133,0.29744794964790344,23745744,0.2690029740333557,0.3035426735877991,170234,0.29379788041114807,0.31381893157958984,5276496,0.2447805404663086,0.2843873202800751,4282192,0.2571867108345032,0.29969510436058044,484512,0.2649969160556793,0.30421435832977295,463,0.24509696662425995,0.2801257371902466,3756,0.2440889127416601,0.28359402516673493,306778
weather,720,0.3038410676488539,0.32291982744970466,16110,0.32713600993156433,0.34377822279930115,3343328,0.320957750082016,0.3391593396663666,522144,0.32156896591186523,0.3402409851551056,1984,0.32388249039649963,0.34231430292129517,925,0.314802885055542,0.3491857945919037,23844432,0.34460127353668213,0.35278257727622986,219770,0.35792896151542664,0.35898298025131226,5473488,0.30982255935668945,0.33105552196502686,8706256,0.3176976442337036,0.35638299584388733,1038240,0.3257553279399872,0.3463296890258789,767,0.32080233097076416,0.3350319564342499,3900,0.31687949421136946,0.3346547821388621,405850
