task_id,family,model,dataset,seq_len,pred_len,seed,source_status,completion_status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,t_train,t_inf,forward_ms_per_sample,test_peak_gpu_mem_mb,train_peak_gpu_mem_mb,n_test_samples,result_dir,checkpoint_path,metrics_path,audit_error
34,asy2echo,Asy2+Echo,PEMS03,96,48,2026,not_available,ok,0.1124646808987564,0.21673026918775246,1.7132382854452013,0.33535754188441386,21618,,,234.9885971546173,2.6140224933624268,0.1018610908436486,47.31298828125,85.95703125,5194,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026/metrics_summary.csv,
35,asy2echo,Asy2+Echo,PEMS03,96,96,2026,not_available,ok,0.15274955960557826,0.24558066249435587,1.934065186615747,0.3908318815111918,24690,,,270.47747683525085,3.068873167037964,0.11555259009215835,56.15283203125,95.8896484375,5146,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026/metrics_summary.csv,
36,asy2echo,Asy2+Echo,PEMS03,720,12,2026,not_available,ok,0.06063680626155356,0.16375897676498763,1.2879699928689035,0.2462454187625702,59250,,,507.6692235469818,5.323059558868408,0.1254133574742945,83.07421875,133.83203125,5230,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h12_s2026_AsyCycleV2_PEMS_ftM_sl720_pl12_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h12_s2026_AsyCycleV2_PEMS_ftM_sl720_pl12_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h12_s2026_AsyCycleV2_PEMS_ftM_sl720_pl12_cycle288_seed2026/metrics_summary.csv,
37,asy2echo,Asy2+Echo,PEMS03,720,24,2026,not_available,ok,0.07622988198765755,0.1821753435374594,1.4475760668262565,0.2760975950414229,60018,,,508.0115942955017,5.2831645011901855,0.11453118950596894,84.39013671875,135.3193359375,5218,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h24_s2026_AsyCycleV2_PEMS_ftM_sl720_pl24_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h24_s2026_AsyCycleV2_PEMS_ftM_sl720_pl24_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h24_s2026_AsyCycleV2_PEMS_ftM_sl720_pl24_cycle288_seed2026/metrics_summary.csv,
38,asy2echo,Asy2+Echo,PEMS03,720,48,2026,not_available,ok,0.10223373812978229,0.20773689018751995,1.6077491581852774,0.31974011029237837,61554,,,502.2937490940094,5.258517742156982,0.11188432077232076,87.5986328125,139.14794921875,5194,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h48_s2026_AsyCycleV2_PEMS_ftM_sl720_pl48_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h48_s2026_AsyCycleV2_PEMS_ftM_sl720_pl48_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h48_s2026_AsyCycleV2_PEMS_ftM_sl720_pl48_cycle288_seed2026/metrics_summary.csv,
39,asy2echo,Asy2+Echo,PEMS03,720,96,2026,not_available,ok,0.1366820480234647,0.23491997964187786,1.8418962573431255,0.3697053529818911,64626,,,569.7724199295044,5.643170595169067,0.12339368242491,92.9873046875,145.79931640625,5146,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h96_s2026_AsyCycleV2_PEMS_ftM_sl720_pl96_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h96_s2026_AsyCycleV2_PEMS_ftM_sl720_pl96_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l720_h96_s2026_AsyCycleV2_PEMS_ftM_sl720_pl96_cycle288_seed2026/metrics_summary.csv,
40,asy2echo,Asy2+Echo,PEMS04,96,12,2026,not_available,ok,0.07145219839296561,0.1752975154067169,1.2600332467921136,0.267305440260698,18498,,,143.50844264030457,2.3652853965759277,0.15636883287794792,39.8916015625,75.708984375,3387,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026/metrics_summary.csv,
41,asy2echo,Asy2+Echo,PEMS04,96,24,2026,not_available,ok,0.08467045479908952,0.19293869884787454,1.4010067273217612,0.2909818805339768,19266,,,149.3722984790802,2.4842095375061035,0.1603003832753058,41.38427734375,76.71728515625,3375,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026/metrics_summary.csv,
42,asy2echo,Asy2+Echo,PEMS04,96,48,2026,not_available,ok,0.10590895580257793,0.21589795876201112,1.5132470122064934,0.3254365618712469,20802,,,150.9106912612915,1.851147174835205,0.09705651908895038,45.2060546875,81.07373046875,3351,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h48_s2026_AsyCycleV2_PEMS_ftM_sl96_pl48_cycle288_seed2026/metrics_summary.csv,
43,asy2echo,Asy2+Echo,PEMS04,96,96,2026,not_available,ok,0.1300708234738621,0.23862213607824473,1.6126456540976535,0.36065332866044936,23874,,,169.2332546710968,2.462857484817505,0.1642483780276151,53.0634765625,92.57275390625,3303,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS04_l96_h96_s2026_AsyCycleV2_PEMS_ftM_sl96_pl96_cycle288_seed2026/metrics_summary.csv,
