dataset,seq_len,pred_len,arm,seeds,n_seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,mape_mean,mape_std,param_count,train_time_mean_s,test_peak_gpu_mem_mean_mb,our_compact_profile,source
ETTm2,96,96,true_compact_echo,"2024,2025,2026",3,0.1663454884750775,6.13794532666102e-05,0.24722382387384426,0.0002705309648276619,1.0655663319900082,0.0016405836248970808,6074,34.11488644282023,41.25537109375,input=dct+recent0;output_kron=0;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,96,192,true_compact_echo,"2024,2025,2026",3,0.23170047837424604,0.00018817135482000066,0.2901234431771585,0.00015865946890962748,1.193483106721634,0.003643749784379292,6138,35.93048429489136,47.91650390625,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,96,336,true_compact_echo,"2024,2025,2026",3,0.29274577341254576,0.00015507504465195644,0.3302026400162617,0.0002546222308738518,1.316506130979693,0.0027884192799391945,6202,30.602699120839436,59.2041015625,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,96,720,true_compact_echo,"2024,2025,2026",3,0.3943864165845686,0.00015432567872277863,0.38938609703153815,0.00036697309625843437,1.5256220279296497,0.0031494359373629185,6330,46.33422350883484,85.87451171875,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,720,96,true_compact_echo,"2024,2025,2026",3,0.1602366646226315,0.00031369211574121464,0.25003215846101945,0.0010452265747859556,1.0605870743087245,0.015468408911408923,10426,49.51119486490885,61.22705078125,input=pcke+recent96;output_kron=0;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,720,192,true_compact_echo,"2024,2025,2026",3,0.21364361760195869,0.00036205744168248626,0.28839408727767046,0.0009998261677615955,1.1810000017044835,0.005197090048205096,10490,38.371562242507935,68.3720703125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,720,336,true_compact_echo,"2024,2025,2026",3,0.26811824283771507,0.0014985867746461104,0.32568922316369914,0.0009679766249152029,1.3124178088748342,0.01400781167993173,10554,36.788962602615356,76.677734375,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm2,720,720,true_compact_echo,"2024,2025,2026",3,0.35354117983555033,0.0013115815442085205,0.3845971089957836,0.0012122706003860782,1.5390252432131555,0.010462623319121804,10682,43.05155531565348,101.62939453125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
PEMS03,96,12,true_compact_echo,"2024,2025,2026",3,0.0700812364580122,0.001188614491455352,0.17988562876567646,0.0014843283514297553,1.4255550044624787,0.009184202640509802,8122,93.76409697532654,155.7890625,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,96,24,true_compact_echo,"2024,2025,2026",3,0.09370700360347142,0.0003591064545705039,0.20861309785904053,0.00020251048051114014,1.647065348746153,0.005894537315997689,8506,99.7260193824768,176.80224609375,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,96,48,true_compact_echo,"2024,2025,2026",3,0.13882099086656102,0.0015512961477659175,0.24522875917631637,0.00109311683469233,1.9126704590030783,0.006484772775539919,9274,114.22244064013164,236.08056640625,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,96,96,true_compact_echo,"2024,2025,2026",3,0.18478179329999736,0.0010554012148101634,0.2786528187701882,0.001165201121604877,2.1894288616822775,0.017647072469421675,10810,156.38406038284302,373.57177734375,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,720,12,true_compact_echo,"2024,2025,2026",3,0.07086846307474438,0.0011737576153240505,0.18171387023644392,0.0020999970211555037,1.3966390141887997,0.017102594164212927,18458,451.9621419906616,811.61376953125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,720,24,true_compact_echo,"2024,2025,2026",3,0.09535556372440077,0.0008620074279947577,0.20843334605299293,0.0014461508188673867,1.6064628246143537,0.010176838645037201,18842,467.10295271873474,832.626953125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,720,48,true_compact_echo,"2024,2025,2026",3,0.14259041960803087,0.0020599757839801125,0.2486096146152004,0.0012932945340778583,1.8630219029561055,0.0095035604557338,19610,474.8382291793823,874.2470703125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS03,720,96,true_compact_echo,"2024,2025,2026",3,0.1897673009900818,0.0020039708722908744,0.2821324065464851,0.0010559091718367606,2.1529059049589905,0.013101135095969793,21146,506.51973422368366,959.76953125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,96,12,true_compact_echo,"2024,2025,2026",3,0.08806900410423699,0.0013997293001359182,0.19964866284837596,0.001944269520419916,1.378286790255237,0.020306097383743425,7714,61.592547496159874,136.70556640625,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,96,24,true_compact_echo,"2024,2025,2026",3,0.11484821211997356,0.0008029178420413637,0.2309019387313848,0.0008169337418391297,1.582356973744936,0.0053270685508340606,8098,67.70222473144531,154.73046875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,96,48,true_compact_echo,"2024,2025,2026",3,0.14733540860692018,0.000802391505725303,0.2609841786164911,0.0007953164567643504,1.7416323194943992,0.030123146416818333,8866,74.35704644521077,205.6416015625,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,96,96,true_compact_echo,"2024,2025,2026",3,0.17677543557084663,0.0008538066041418344,0.28608108290083006,0.00046537122989105835,1.9014554467583287,0.013995458697294611,10402,94.66971198717754,321.8203125,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,720,12,true_compact_echo,"2024,2025,2026",3,0.09436471030896688,0.002243655388456842,0.20931193776180437,0.0035815739101775403,1.503599062708056,0.029099517055807354,18050,257.134561697642,700.8232421875,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
