arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_cross_clip05,electricity,720,336,2026,ok,0.1469591,0.17084337770938873,0.27291515469551086,181,24+168,0,28447805,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl336_sd2026.log,0.2454646,0.2332897,0.2432978,0.2539204,0.2513717,0.1466309,0.1406496,0.1560586,0.1446209
phase5_asx_cross_clip05,electricity,720,720,2024,ok,0.1815764,0.206654354929924,0.30172914266586304,181,24+168,0,28447798,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl720_sd2024.log,0.2760516,0.2859715,0.2695826,0.2760559,0.2725757,0.2103716,0.1688469,0.1770723,0.1699314
phase5_asx_cross_clip05,electricity,720,720,2025,ok,0.1810934,0.2051851600408554,0.3008781373500824,181,24+168,0,28447802,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl720_sd2025.log,0.2765424,0.284716,0.2709722,0.2771219,0.2733423,0.208461,0.1688985,0.1778228,0.1698499
phase5_asx_cross_clip05,electricity,720,720,2026,ok,0.1810449,0.20860496163368225,0.3027620017528534,181,24+168,0,28447806,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl720_sd2026.log,0.2753391,0.2844525,0.2666828,0.2750177,0.2751842,0.2086007,0.1676731,0.1757059,0.1723887
phase5_asx_cross_clip05,electricity,720,96,2024,ok,0.1188954,0.14202819764614105,0.244858980178833,181,24+168,0,28447795,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl96_sd2024.log,0.2192338,0.2091957,0.208721,0.2240207,0.2350136,0.1164065,0.1104526,0.126182,0.1228561
phase5_asx_cross_clip05,electricity,720,96,2025,ok,0.1191941,0.14232055842876434,0.24486786127090454,181,24+168,0,28447799,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl96_sd2025.log,0.2195377,0.2095452,0.2081291,0.2246648,0.2358278,0.1170863,0.1098732,0.1268866,0.1236524
phase5_asx_cross_clip05,electricity,720,96,2026,ok,0.1197781,0.14190217852592468,0.24447424709796906,181,24+168,0,28447803,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl96_sd2026.log,0.2199256,0.2092865,0.2100108,0.2256979,0.2347241,0.1175299,0.1107252,0.1274492,0.1234355
phase5_asx_cross_clip05,weather,720,192,2024,ok,0.4416891,0.20314878225326538,0.2558859586715698,31,144,0,28447784,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl192_sd2024.log,0.3262936,0.2952272,0.3781676,0.3140226,0.3177504,0.2095288,0.8449475,0.2954528,0.4209547
phase5_asx_cross_clip05,weather,720,192,2025,ok,0.4461524,0.20382067561149597,0.2576207220554352,31,144,0,28447788,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl192_sd2025.log,0.3297131,0.2875753,0.3868833,0.3196896,0.3247004,0.2070596,0.8561565,0.3037598,0.4222475
phase5_asx_cross_clip05,weather,720,192,2026,ok,0.4418606,0.20232592523097992,0.2549857199192047,31,144,0,28447792,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl192_sd2026.log,0.3258178,0.2860518,0.3794293,0.3138014,0.3239874,0.2063964,0.8474978,0.2939669,0.4246831
phase5_asx_cross_clip05,weather,720,336,2024,ok,0.5033625,0.25091788172721863,0.2909202575683594,31,144,0,28447785,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl336_sd2024.log,0.3649115,0.3433764,0.4190348,0.3405108,0.3567173,0.2728849,0.9268575,0.3216327,0.4945601
phase5_asx_cross_clip05,weather,720,336,2025,ok,0.5042277,0.25318512320518494,0.29288506507873535,31,144,0,28447789,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl336_sd2025.log,0.3655153,0.3428159,0.4207346,0.3416252,0.3568785,0.2725682,0.9270637,0.3237515,0.4961596
