dataset,seq_len,pred_len,selector,selected_arm,test_mse,test_mae,oracle_arm,oracle_mse,fixed_best_arm
ETTm1,720,336,policy_family,phase6_asx_individual,0.376329,0.389791,phase6_asx_individual_period,0.375191,phase6_asx_period_multi
ETTm1,720,720,policy_family,phase6_asx_individual,0.426381,0.417995,phase6_asx_period_multi,0.423044,phase6_asx_period_multi
ETTm1,720,96,policy_family,phase6_asx_individual_period,0.307015,0.351471,phase6_asx_individual_period,0.307015,phase6_asx_period_multi
ETTm1,96,192,policy_family,phase6_asx_individual,0.390304,0.393907,phase6_asx_cross_clip05,0.388281,phase6_asx_period_multi
ETTm1,96,336,policy_family,phase6_asx_cross,0.418064,0.414438,phase6_asx_cross_clip05,0.416828,phase6_asx_period_multi
ETTm1,96,720,policy_family,phase6_asx_cross,0.482212,0.447196,phase6_asx_cross_clip05,0.478628,phase6_asx_period_multi
ETTm1,96,96,policy_family,phase6_asx_cross_clip05,0.351353,0.379215,phase6_asx_cross_clip05,0.351353,phase6_asx_period_multi
PEMS04,96,12,policy_family,phase6_asx_cross,0.093211,0.204826,phase6_asx_period_multi,0.0931334,phase6_asx_period_multi
PEMS04,96,24,policy_family,phase6_asx_period_multi,0.138738,0.255873,phase6_asx_period_multi,0.138738,phase6_asx_period_multi
PEMS04,96,48,policy_family,phase6_asx_period_multi,0.249868,0.355835,phase6_asx_period_multi,0.249868,phase6_asx_period_multi
PEMS04,96,96,policy_family,phase6_asx_period_multi,0.381494,0.455779,phase6_asx_period_multi,0.381494,phase6_asx_period_multi
PEMS08,96,12,policy_family,phase6_asx_period_multi,0.0914837,0.199324,phase6_asx_period_multi,0.0914837,phase6_asx_period_multi
PEMS08,96,24,policy_family,phase6_asx_period_multi,0.149582,0.257745,phase6_asx_period_multi,0.149582,phase6_asx_period_multi
PEMS08,96,48,policy_family,phase6_asx_period_multi,0.29149,0.37999,phase6_asx_period_multi,0.29149,phase6_asx_period_multi
PEMS08,96,96,policy_family,phase6_asx_cross,0.579403,0.555761,phase6_asx_period_multi,0.561115,phase6_asx_period_multi
electricity,720,192,policy_family,phase6_asx_period_multi,0.151979,0.249248,phase6_asx_period_multi,0.151979,phase6_asx_period_multi
electricity,720,336,policy_family,phase6_asx_period_multi,0.166828,0.263942,phase6_asx_period_multi,0.166828,phase6_asx_period_multi
electricity,720,720,policy_family,phase6_asx_period_multi,0.203556,0.293765,phase6_asx_period_multi,0.203556,phase6_asx_period_multi
electricity,720,96,policy_family,phase6_asx_period_multi,0.138265,0.238301,phase6_asx_period_multi,0.138265,phase6_asx_period_multi
electricity,96,192,policy_family,phase6_asx_individual_period,0.194564,0.281049,phase6_asx_individual_period,0.194564,phase6_asx_period_multi
electricity,96,336,policy_family,phase6_asx_individual_period,0.208904,0.295086,phase6_asx_individual_period,0.208904,phase6_asx_period_multi
electricity,96,720,policy_family,phase6_asx_individual_period,0.249786,0.327229,phase6_asx_individual_period,0.249786,phase6_asx_period_multi
electricity,96,96,policy_family,phase6_asx_individual_period,0.194684,0.279893,phase6_asx_individual_period,0.194684,phase6_asx_period_multi
traffic,720,192,policy_family,phase6_asx_period_multi,0.400557,0.281291,phase6_asx_period_multi,0.400557,phase6_asx_period_multi
traffic,720,336,policy_family,phase6_asx_period_multi,0.411927,0.285796,phase6_asx_period_multi,0.411927,phase6_asx_period_multi
traffic,720,720,policy_family,phase6_asx_period_multi,0.448077,0.304166,phase6_asx_period_multi,0.448077,phase6_asx_period_multi
traffic,720,96,policy_family,phase6_asx_period_multi,0.388673,0.278225,phase6_asx_period_multi,0.388673,phase6_asx_period_multi
