dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
electricity,96,336,2024,phase6_asx_individual_revin,0.18421477286098617,0.1841795,0.20990709960460663,0.2960151731967926
electricity,96,336,2025,phase6_asx_individual_revin,0.18421477286098617,0.1842209,0.20985722541809082,0.2959672510623932
electricity,96,336,2026,phase6_asx_individual_revin,0.18421477286098617,0.1842279,0.2098674327135086,0.2959875762462616
electricity,96,720,2024,phase6_asx_individual_revin,0.21667969129086562,0.2167097,0.2510940730571747,0.3281450569629669
electricity,96,720,2025,phase6_asx_individual_revin,0.21667969129086562,0.2165959,0.2506526708602905,0.3274992108345032
electricity,96,720,2026,phase6_asx_individual_revin,0.21667969129086562,0.2166955,0.2505936026573181,0.3274131715297699
electricity,96,96,2024,phase6_asx_individual_period,0.17153098351213059,0.1715564,0.19458086788654327,0.27972081303596497
electricity,96,96,2025,phase6_asx_individual_period,0.17153098351213059,0.1716145,0.1947389543056488,0.2799956202507019
electricity,96,96,2026,phase6_asx_individual_period,0.17153098351213059,0.17133,0.19473148882389069,0.2799612879753113
traffic,720,192,2024,phase6_asx_period_multi,0.3323219154693613,0.3320817,0.3994016945362091,0.2805596888065338
traffic,720,192,2025,phase6_asx_period_multi,0.3323219154693613,0.3311872,0.4014856815338135,0.2818998694419861
traffic,720,192,2026,phase6_asx_period_multi,0.3323219154693613,0.3331082,0.400784432888031,0.281412810087204
traffic,720,336,2024,phase6_asx_period_multi,0.34357273397396276,0.3435222,0.41118118166923523,0.2854340672492981
traffic,720,336,2025,phase6_asx_period_multi,0.34357273397396276,0.344368,0.41248056292533875,0.2863863706588745
traffic,720,336,2026,phase6_asx_period_multi,0.34357273397396276,0.3421389,0.4121207296848297,0.28556740283966064
traffic,720,720,2024,phase6_asx_period_multi,0.38691564428020253,0.3862576,0.44880765676498413,0.304575651884079
traffic,720,720,2025,phase6_asx_period_multi,0.38691564428020253,0.3878688,0.44951847195625305,0.305437833070755
traffic,720,720,2026,phase6_asx_period_multi,0.38691564428020253,0.3860004,0.4459049105644226,0.30248335003852844
traffic,720,96,2024,phase6_asx_period_multi,0.32835717256507063,0.328648,0.38840001821517944,0.27804499864578247
traffic,720,96,2025,phase6_asx_period_multi,0.32835717256507063,0.3276741,0.38881412148475647,0.2781260013580322
traffic,720,96,2026,phase6_asx_period_multi,0.32835717256507063,0.3284358,0.38880425691604614,0.2785045802593231
traffic,96,192,2024,phase6_asx_cross_clip05,0.4773806772322524,0.4751379,0.5821307897567749,0.368257075548172
traffic,96,192,2025,phase6_asx_cross_clip05,0.4773806772322524,0.4784939,0.5854290723800659,0.3732813894748688
traffic,96,192,2026,phase6_asx_cross_clip05,0.4773806772322524,0.4774579,0.5845922827720642,0.36985960602760315
traffic,96,336,2024,phase6_asx_cross_clip05,0.4795803803394989,0.4737529,0.5851584076881409,0.3694363236427307
traffic,96,336,2025,phase6_asx_cross_clip05,0.4795803803394989,0.4822506,0.5946353673934937,0.3744029402732849
traffic,96,336,2026,phase6_asx_cross_clip05,0.4795803803394989,0.480038,0.5930649042129517,0.3736015856266022
traffic,96,720,2024,phase6_asx_cross_clip05,0.5306012992418175,0.5261002,0.62223219871521,0.38454288244247437
traffic,96,720,2025,phase6_asx_cross_clip05,0.5306012992418175,0.5257781,0.6219760775566101,0.38512811064720154
traffic,96,720,2026,phase6_asx_cross_clip05,0.5306012992418175,0.5362713,0.6302362680435181,0.3957020342350006
traffic,96,96,2024,phase6_asx_cross_clip05,0.5202497577843876,0.5243974,0.6251271367073059,0.39242854714393616
traffic,96,96,2025,phase6_asx_cross_clip05,0.5202497577843876,0.5172989,0.6212499141693115,0.3947482407093048
traffic,96,96,2026,phase6_asx_cross_clip05,0.5202497577843876,0.5163624,0.6184327602386475,0.3895789086818695
weather,720,192,2024,phase6_asx_individual_revin,0.4377952449870479,0.4376875,0.190342977643013,0.2405116856098175
weather,720,192,2025,phase6_asx_individual_revin,0.4377952449870479,0.4377343,0.19010286033153534,0.24022993445396423
weather,720,192,2026,phase6_asx_individual_revin,0.4377952449870479,0.4378967,0.1901623159646988,0.24026477336883545
weather,720,336,2024,phase6_asx_cross,0.4994404950260766,0.497157,0.24762137234210968,0.28849101066589355
weather,720,336,2025,phase6_asx_cross,0.4994404950260766,0.4993576,0.250132292509079,0.2906610369682312
weather,720,336,2026,phase6_asx_cross,0.4994404950260766,0.500709,0.2509799599647522,0.2910982668399811
weather,720,720,2024,phase6_asx_cross,0.5921427278948213,0.5893421,0.31322842836380005,0.3357509672641754
weather,720,720,2025,phase6_asx_cross,0.5921427278948213,0.5953971,0.3103954792022705,0.33448919653892517
weather,720,720,2026,phase6_asx_cross,0.5921427278948213,0.5895908,0.31533676385879517,0.3376379907131195
weather,720,96,2024,phase6_asx_individual_revin,0.3815108472096941,0.3813918,0.14773397147655487,0.20042157173156738
weather,720,96,2025,phase6_asx_individual_revin,0.3815108472096941,0.3816749,0.14806611835956573,0.20093192160129547
weather,720,96,2026,phase6_asx_individual_revin,0.3815108472096941,0.3813596,0.14775338768959045,0.20051971077919006
weather,96,192,2024,phase6_asx_individual_revin,0.5283738142970839,0.5280178,0.23165634274482727,0.27414053678512573
weather,96,192,2025,phase6_asx_individual_revin,0.5283738142970839,0.5286367,0.23158229887485504,0.2742977440357208
weather,96,192,2026,phase6_asx_individual_revin,0.5283738142970839,0.5282766,0.23240429162979126,0.2748643457889557
weather,96,336,2024,phase6_asx_individual_revin,0.6055558098618127,0.6058378,0.28307709097862244,0.3083686828613281
weather,96,336,2025,phase6_asx_individual_revin,0.6055558098618127,0.6052488,0.28311991691589355,0.3085204064846039
weather,96,336,2026,phase6_asx_individual_revin,0.6055558098618127,0.6053928,0.28375622630119324,0.3089332580566406
weather,96,720,2024,phase6_asx_individual_revin,0.7240906389820774,0.7241827,0.3566458225250244,0.3536166250705719
weather,96,720,2025,phase6_asx_individual_revin,0.7240906389820774,0.7239635,0.35652434825897217,0.35357344150543213
weather,96,720,2026,phase6_asx_individual_revin,0.7240906389820774,0.7240584,0.3569287955760956,0.3538047969341278
weather,96,96,2024,phase6_asx_individual_revin,0.45909887858360815,0.4590514,0.18766464293003082,0.23957911133766174
weather,96,96,2025,phase6_asx_individual_revin,0.45909887858360815,0.4590355,0.18737560510635376,0.23962171375751495
weather,96,96,2026,phase6_asx_individual_revin,0.45909887858360815,0.4591661,0.18746379017829895,0.23956730961799622
