arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase6_asx_cross,ETTm1,720,336,2026,ok,0.6699846,0.3814108371734619,0.3999735414981842,43,96+672,0,28522595,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl336_sd2026.log,0.5444571,0.5319504,0.6319815,0.5354308,0.4784701,0.6060368,0.8108019,0.7522003,0.5092508
phase6_asx_cross,ETTm1,720,720,2024,ok,0.9377213,0.4255308210849762,0.4230521321296692,43,96+672,0,28522580,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl720_sd2024.log,0.6428408,0.6650485,0.7165054,0.6152831,0.5745177,0.984032,1.0670825,0.9739938,0.7267208
phase6_asx_cross,ETTm1,720,720,2025,ok,0.9335905,0.4251997470855713,0.4233514666557312,43,96+672,0,28522588,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl720_sd2025.log,0.6420476,0.6621565,0.717374,0.6109957,0.5776572,0.9789411,1.0532503,0.978395,0.7261634
phase6_asx_cross,ETTm1,720,720,2026,ok,0.9382626,0.4236471951007843,0.42036014795303345,43,96+672,0,28522596,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl720_sd2026.log,0.642363,0.6627436,0.7156951,0.6168969,0.574109,0.9844998,1.068395,0.9714334,0.7320077
phase6_asx_cross,ETTm1,720,96,2024,ok,0.4147149,0.32122236490249634,0.3619654178619385,43,96+672,0,28522577,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl96_sd2024.log,0.4280243,0.3962367,0.5026838,0.4261193,0.3870685,0.3429837,0.5319488,0.4414967,0.3433951
phase6_asx_cross,ETTm1,720,96,2025,ok,0.4047955,0.31692788004875183,0.36179694533348083,43,96+672,0,28522585,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl96_sd2025.log,0.4216776,0.3956357,0.4983565,0.4170206,0.3757066,0.3408023,0.5260449,0.4248556,0.3282314
phase6_asx_cross,ETTm1,720,96,2026,ok,0.4228068,0.3182034492492676,0.3616849482059479,43,96+672,0,28522593,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl96_sd2026.log,0.4330096,0.406707,0.5097098,0.4216535,0.3939772,0.357691,0.5572163,0.4266415,0.3502621
phase6_asx_cross,ETTm1,96,192,2024,ok,0.533012,0.39096125960350037,0.397457480430603,7,96+672,0,28522574,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl192_sd2024.log,0.4814615,0.4578951,0.5693422,0.465949,0.4326682,0.4572757,0.6989653,0.5418961,0.434441
phase6_asx_cross,ETTm1,96,192,2025,ok,0.5299191,0.3889709413051605,0.3962329626083374,7,96+672,0,28522582,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl192_sd2025.log,0.4796608,0.4541201,0.5685743,0.4659059,0.430052,0.4506127,0.697636,0.5408734,0.4309557
phase6_asx_cross,ETTm1,96,192,2026,ok,0.5355084,0.39136430621147156,0.3978675305843353,7,96+672,0,28522590,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl192_sd2026.log,0.4824118,0.4566865,0.5705585,0.4671549,0.4352565,0.4568652,0.7051757,0.5435489,0.4368049
phase6_asx_cross,ETTm1,96,336,2024,ok,0.6779268,0.4191538393497467,0.4154350161552429,7,96+672,0,28522575,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl336_sd2024.log,0.5453141,0.5374878,0.6486541,0.5114515,0.4836662,0.6213181,0.8715681,0.6755688,0.5459322
phase6_asx_cross,ETTm1,96,336,2025,ok,0.6767372,0.41713425517082214,0.41376593708992004,7,96+672,0,28522583,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl336_sd2025.log,0.5428682,0.5330991,0.6448948,0.5114506,0.4820318,0.6155831,0.8708708,0.6803644,0.5462311
phase6_asx_cross,ETTm1,96,336,2026,ok,0.6780006,0.4179029166698456,0.4141126573085785,7,96+672,0,28522591,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl336_sd2026.log,0.5439754,0.5329069,0.6464875,0.5128784,0.4836327,0.6146305,0.8719096,0.6808352,0.5476377
phase6_asx_cross,ETTm1,96,720,2024,ok,0.9938284,0.4825979173183441,0.4477805495262146,7,96+672,0,28522576,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl720_sd2024.log,0.6582786,0.673593,0.746838,0.6283789,0.584299,0.9722222,1.1920235,1.0215476,0.7931496
phase6_asx_cross,ETTm1,96,720,2025,ok,0.9936333,0.4822116792201996,0.4470691382884979,7,96+672,0,28522584,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl720_sd2025.log,0.6585941,0.6728715,0.7475864,0.6292557,0.5846575,0.9706268,1.1938229,1.0213742,0.7924824
phase6_asx_cross,ETTm1,96,720,2026,ok,0.9946244,0.4818263351917267,0.4467380940914154,7,96+672,0,28522592,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl720_sd2026.log,0.658282,0.6721287,0.7463619,0.629802,0.5848302,0.9707577,1.1931489,1.0235889,0.7956114
phase6_asx_cross,ETTm1,96,96,2024,ok,0.414263,0.36098167300224304,0.38638103008270264,7,96+672,0,28522573,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl96_sd2024.log,0.4264866,0.4023063,0.4975491,0.4150193,0.39108,0.3513792,0.556353,0.4002194,0.3484041
phase6_asx_cross,ETTm1,96,96,2025,ok,0.4080804,0.35140857100486755,0.3787609040737152,7,96+672,0,28522581,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl96_sd2025.log,0.4205631,0.3985731,0.48989,0.4087972,0.385,0.34781,0.5448139,0.3973014,0.3441797
phase6_asx_cross,ETTm1,96,96,2026,ok,0.4107451,0.35597217082977295,0.38337624073028564,7,96+672,0,28522589,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl96_pl96_sd2026.log,0.4223349,0.3990558,0.4922265,0.4108053,0.3872602,0.3485152,0.5497798,0.3980927,0.3460802
phase6_asx_cross,PEMS04,96,12,2024,ok,0.0974896,0.09307422488927841,0.20467741787433624,49,24,0,28522669,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl12_sd2024.log,0.2118753,0.2196434,0.2017876,0.2084757,0.2176011,0.1049639,0.0890703,0.0973919,0.098849
phase6_asx_cross,PEMS04,96,12,2025,ok,0.0975631,0.09322547167539597,0.20488432049751282,49,24,0,28522673,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl12_sd2025.log,0.2117925,0.2194548,0.2018578,0.2085167,0.2173474,0.1049417,0.0890789,0.097539,0.0987654
