run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10_0712v1,ind,weather,96,336,2026,13,144,144,ok,0,28661030,34146,0.5728652,0.2695579528808594,0.2935292720794678,391.5174,2.8101,99.26,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl336_cf13_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl336_cf13_sd2026/run_summary.json,0.3627112,0.9640065,0.3441626,0.6244593
phase10_0712v1,ind,weather,96,336,2026,25,144,144,ok,0,28661032,122346,0.5712916,0.2688977122306824,0.2927792966365814,353.3499,2.7594,102.09,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl336_cf25_sd2026/run_summary.json,0.3599533,0.9617821,0.3431579,0.6234614
phase10w_0712v1,ind_cycle_full,weather,96,336,2024,13,144,144,ok,0,28661097,37170,0.5573688,0.26424911618232727,0.2880760729312897,411.6748,2.7215,104.59,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl336_cf13_sd2024.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl336_cf13_sd2024/run_summary.json,0.3289084,0.9519441,0.3299132,0.619912
phase10w_0712v1,ind_cycle_full,weather,96,336,2025,13,144,144,ok,0,28661101,37170,0.5569212,0.2645646631717682,0.288289874792099,319.2085,2.8767,104.59,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl336_cf13_sd2025.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl336_cf13_sd2025/run_summary.json,0.3293227,0.9519307,0.3301747,0.6199695
phase10_0712v1,ind_cycle_full,weather,96,336,2026,13,144,144,ok,0,28661034,37170,0.5565365,0.26434749364852905,0.28800755739212036,400.3397,2.9427,104.59,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_weather_sl96_pl336_cf13_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full/weather/sl96_pl336_cf13_sd2026/run_summary.json,0.3283999,0.9519621,0.3300006,0.6197231
phase10_0712v1,ind_direct_res,weather,96,336,2026,13,144,144,ok,0,28661036,67074,0.5680505,0.26797181367874146,0.2909613251686096,410.8472,3.0175,103.95,logs/AsySpecX_phase10/phase10_0712v1_ind_direct_res_weather_sl96_pl336_cf13_sd2026.log,phase10_results/screen_0712v1/ind_direct_res/weather/sl96_pl336_cf13_sd2026/run_summary.json,0.3503375,0.9627321,0.3402738,0.6227618
phase10_0712v1,ind_dlinear_res,weather,96,336,2026,13,144,144,ok,0,28661038,99666,0.5679935,0.2679513692855835,0.2909300625324249,416.405,2.8624,106.54,logs/AsySpecX_phase10/phase10_0712v1_ind_dlinear_res_weather_sl96_pl336_cf13_sd2026.log,phase10_results/screen_0712v1/ind_dlinear_res/weather/sl96_pl336_cf13_sd2026/run_summary.json,0.3503147,0.9625958,0.3402464,0.6227198
phase10w_0712v1,ind_cycle_full,weather,96,720,2024,13,144,144,ok,0,28661098,67746,0.6855494,0.34348079562187195,0.3391028940677643,485.5532,3.6982,138.01,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl720_cf13_sd2024.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl720_cf13_sd2024/run_summary.json,0.6189669,1.0581623,0.4170508,0.6509601
phase10w_0712v1,ind_cycle_full,weather,96,720,2025,13,144,144,ok,0,28661102,67746,0.6859864,0.34384965896606445,0.3393293023109436,348.8968,3.7656,138.01,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl720_cf13_sd2025.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl720_cf13_sd2025/run_summary.json,0.6192658,1.0576943,0.4172249,0.6515741
phase10w_0712v1,ind_cycle_full,weather,96,720,2026,13,144,144,ok,0,28661104,67746,0.6857257,0.3436083495616913,0.33914926648139954,483.0053,3.6591,138.01,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl720_cf13_sd2026.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl720_cf13_sd2026/run_summary.json,0.6186495,1.0580398,0.4170077,0.6511096
