arm,dataset,seq_len,pred_len,seed,status,mse,mae,exit_code,job_id,log_file
phase2_global_all,electricity,96,96,2027,ok,0.2036721408367157,0.2870623767375946,0,28306887,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl96_sd2027.log
phase2_global_all,traffic,720,192,2026,ok,0.4026010036468506,0.2838325798511505,0,28306900,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl192_sd2026.log
phase2_global_all,traffic,720,192,2027,ok,0.4020117223262787,0.2826729118824005,0,28306908,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl192_sd2027.log
phase2_global_all,traffic,720,336,2026,ok,0.41524890065193176,0.2889372706413269,0,28306901,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl336_sd2026.log
phase2_global_all,traffic,720,336,2027,ok,0.4154764711856842,0.28989771008491516,0,28306909,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl336_sd2027.log
phase2_global_all,traffic,720,720,2026,ok,0.46105918288230896,0.31683850288391113,0,28306902,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl720_sd2026.log
phase2_global_all,traffic,720,720,2027,ok,0.4624362885951996,0.31588074564933777,0,28306910,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl720_sd2027.log
phase2_global_all,traffic,720,96,2026,ok,0.3902018964290619,0.27934521436691284,0,28306899,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl96_sd2026.log
phase2_global_all,traffic,720,96,2027,ok,0.3896421790122986,0.2789275348186493,0,28306907,logs/AsySpecX_phase2/phase2_global_all_traffic_sl720_pl96_sd2027.log
phase2_global_all,traffic,96,192,2026,ok,0.6106484532356262,0.37758222222328186,0,28306896,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl192_sd2026.log
phase2_global_all,traffic,96,192,2027,ok,0.6060387492179871,0.3753695487976074,0,28306904,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl192_sd2027.log
phase2_global_all,traffic,96,336,2026,ok,0.6222853064537048,0.38440001010894775,0,28306897,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl336_sd2026.log
phase2_global_all,traffic,96,336,2027,ok,0.6317447423934937,0.38796666264533997,0,28306905,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl336_sd2027.log
phase2_global_all,traffic,96,720,2026,ok,0.6684422492980957,0.4028870463371277,0,28306898,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl720_sd2026.log
phase2_global_all,traffic,96,720,2027,ok,0.6512766480445862,0.3959238529205322,0,28306906,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl720_sd2027.log
phase2_global_all,traffic,96,96,2026,ok,0.655195415019989,0.3991190791130066,0,28306895,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl96_sd2026.log
phase2_global_all,traffic,96,96,2027,ok,0.654468834400177,0.397480309009552,0,28306903,logs/AsySpecX_phase2/phase2_global_all_traffic_sl96_pl96_sd2027.log
phase2_global_all,weather,720,192,2026,ok,0.21034784615039825,0.2606067657470703,0,28306868,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl192_sd2026.log
phase2_global_all,weather,720,192,2027,ok,0.20900720357894897,0.2592995762825012,0,28306876,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl192_sd2027.log
phase2_global_all,weather,720,336,2026,ok,0.2547486126422882,0.2938491106033325,0,28306869,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl336_sd2026.log
phase2_global_all,weather,720,336,2027,ok,0.25599464774131775,0.293508917093277,0,28306877,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl336_sd2027.log
phase2_global_all,weather,720,720,2026,ok,0.3184572458267212,0.3394733667373657,0,28306870,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl720_sd2026.log
phase2_global_all,weather,720,720,2027,ok,0.31909114122390747,0.34042122960090637,0,28306878,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl720_sd2027.log
phase2_global_all,weather,720,96,2026,ok,0.16919735074043274,0.2259727120399475,0,28306867,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl96_sd2026.log
phase2_global_all,weather,720,96,2027,ok,0.16682910919189453,0.2225397229194641,0,28306875,logs/AsySpecX_phase2/phase2_global_all_weather_sl720_pl96_sd2027.log
phase2_global_all,weather,96,192,2026,ok,0.24594572186470032,0.287369966506958,0,28306864,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl192_sd2026.log
phase2_global_all,weather,96,192,2027,ok,0.2458949089050293,0.28748056292533875,0,28306872,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl192_sd2027.log
phase2_global_all,weather,96,336,2026,ok,0.2958443760871887,0.3196333646774292,0,28306865,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl336_sd2026.log
phase2_global_all,weather,96,336,2027,ok,0.29590192437171936,0.3196757137775421,0,28306873,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl336_sd2027.log
phase2_global_all,weather,96,720,2026,ok,0.36571934819221497,0.36195728182792664,0,28306866,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl720_sd2026.log
phase2_global_all,weather,96,720,2027,ok,0.366782009601593,0.36256128549575806,0,28306874,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl720_sd2027.log
